Description,sentiment_label,urgency_score_v2,urgency_score,vader_compound,critical_kw_hits,negative_kw_hits
Loan of policies,Neutral,1.97,3.5,0.0,0,0
Non-conversion/Delay in conversion,Negative,5.77,4.0,0.0,0,1
Non-payment/Delay in payment of death claim,Critical/Urgent,8.04,7.6,-0.5994,1,1
Non-payment/Delay in payment of loan amount,Negative,5.81,4.0,0.0,0,1
Non-payment/Delay in payment of maturity value,Negative,5.6,2.81,0.34,0,1
Non-payment/Delay in payment of surrender value,Negative,5.6,2.81,0.34,0,1
Non-payment/Delay in payment of survival benefits,Negative,5.58,2.66,0.3818,0,1
Non-revival/Delay in revival,Negative,5.77,4.0,0.0,0,1
Non-transfer/Delay in transfer,Negative,5.77,4.0,0.0,0,1
Paid up Value,Positive,0.52,2.31,0.34,0,0
Revival of Policy,Neutral,1.97,3.5,0.0,0,0
Settlement of claim on death with nomination,Critical/Urgent,8.06,7.1,-0.5994,1,0
Settlement of claim on maturity,Neutral,2.0,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
PF/ Gratuity,Neutral,1.95,3.5,0.0,0,0
Compassionate appointment,Positive,0.4,1.77,0.4939,0,0
Removed/Retrenched employee,Neutral,1.95,3.5,0.0,0,0
GDS matters,Neutral,1.93,3.41,0.0258,0,0
Departmental exams,Neutral,1.95,3.5,0.0,0,0
Recruitment/Exam related issues,Neutral,1.97,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Allegation of  corruption,Neutral,1.97,3.5,0.0,0,0
Misbehavior of staff,Neutral,1.97,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Minorities,Neutral,1.92,3.5,0.0,0,0
Women,Neutral,1.92,3.5,0.0,0,0
SC/ST/OBC,Neutral,1.92,3.5,0.0,0,0
Differently Abled,Neutral,1.95,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Gaps in service,Neutral,1.97,3.5,0.0,0,0
Gaps in service,Neutral,1.97,3.5,0.0,0,0
Policy matters,Neutral,1.93,3.41,0.0258,0,0
Gaps in service,Neutral,1.97,3.5,0.0,0,0
Increase of Rent,Positive,0.53,2.39,0.3182,0,0
Vacation of Building,Neutral,1.97,3.5,0.0,0,0
Banking,Neutral,1.92,3.5,0.0,0,0
Bank Locker Related,Neutral,1.97,3.5,0.0,0,0
Deficiency in Customer Service Related,Neutral,2.0,3.5,0.0,0,0
Education Loans Related,Neutral,1.97,3.5,0.0,0,0
Housing Loan Related,Neutral,1.97,3.5,0.0,0,0
Non Banking Finance Company (NBFC) other than Housing Finance Companies Related,Neutral,2.06,3.5,0.0,0,0
Pradhan Mantri Jan Dhan Yojna (PMJDY) Related,Neutral,2.02,3.5,0.0,0,0
Pradhan Mantri Mudra Yojana (PMMY) Related,Neutral,2.01,3.5,0.0,0,0
Agricultural Matters Related,Neutral,1.95,3.41,0.0258,0,0
Credit/Debit/ATM Cards Related,Neutral,1.97,3.5,0.0,0,0
Service Charges Related,Negative,4.0,4.46,-0.2732,0,0
Government sponsored Schemes Related,Neutral,1.99,3.5,0.0,0,0
Fraud,Negative,4.14,5.55,-0.5859,0,0
Mobile Banking,Neutral,1.95,3.5,0.0,0,0
Misappropriation,Neutral,1.92,3.5,0.0,0,0
Misbehaviour/Harrassment/Corruption by Bank Staff,Neutral,1.99,3.5,0.0,0,0
One Time Settlement of Loan,Neutral,2.0,3.5,0.0,0,0
Opening of New Branches,Neutral,1.99,3.5,0.0,0,0
Pradhan Mantri Jeevan Jyoti Yojna,Neutral,2.0,3.5,0.0,0,0
Pradhan Mantri Jeevan Suraksha Yojana,Neutral,2.0,3.5,0.0,0,0
Recruitment Related,Neutral,1.95,3.5,0.0,0,0
Service Matter Related,Neutral,1.95,3.41,0.0258,0,0
Pension/Retirement Benefits Related,Positive,0.49,2.16,0.3818,0,0
Stand Up India Related,Neutral,1.99,3.5,0.0,0,0
Vacation of Premises,Neutral,1.97,3.5,0.0,0,0
Miscellaneous/Others,Neutral,1.92,3.5,0.0,0,0
Non-availability of locker,Neutral,1.97,3.5,0.0,0,0
Demand of Fixed Deposit,Negative,3.93,3.95,-0.128,0,0
Problem in Locker operation,Negative,6.04,5.41,-0.4019,0,1
Unauthorised break opening of locker,Neutral,2.0,3.5,0.0,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Acceptance of Cash,Positive,0.44,1.89,0.4588,0,0
Issue/Payment of Draft/Banker Cheque,Neutral,1.99,3.5,0.0,0,0
Delay in Service,Negative,5.97,5.11,-0.3182,0,1
Non-adherance to timing of opening/closing of Branch,Neutral,2.02,3.5,0.0,0,0
Frequent Failure of Banks server,Negative,6.12,5.79,-0.5106,0,1
Non-opening/delay in opening of new accounts,Negative,5.81,4.0,0.0,0,1
Non settlement/delay in settlement of Deceased Account,Negative,5.82,4.0,0.0,0,1
Non-transfer/Delay in transfer of accounts from one office to another,Negative,5.85,4.0,0.0,0,1
Non-payment/Delay in payment of Fixed/Term Deposit,Negative,5.81,4.0,0.0,0,1
Others,Neutral,1.92,3.5,0.0,0,0
Non-sanctioning of Loan,Neutral,1.97,3.5,0.0,0,0
Delay in sanction of Loan,Negative,6.0,5.11,-0.3182,0,1
Demand of Collateral Security,Positive,0.61,2.71,0.2263,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Short Sanctioning of Loan,Neutral,1.99,3.5,0.0,0,0
Non-receipt of Subsidy,Neutral,1.97,3.5,0.0,0,0
Related to Banks,Neutral,1.97,3.5,0.0,0,0
Related to Housing Finance Companies,Neutral,2.0,3.5,0.0,0,0
Non-sanctioning of Loan,Neutral,1.97,3.5,0.0,0,0
Demand of Collateral Security,Positive,0.61,2.71,0.2263,0,0
Short Sanctioning of Loan,Neutral,1.99,3.5,0.0,0,0
Non-receipt of Subsidy,Neutral,1.97,3.5,0.0,0,0
Processing Charges related,Negative,4.0,4.46,-0.2732,0,0
Others,Neutral,1.92,3.5,0.0,0,0
Delay/Non-opening of Account,Negative,5.77,4.0,0.0,0,1
Delay in Settlement of Death Claim,Critical/Urgent,8.13,8.07,-0.7351,1,1
Levy of Service Charges,Negative,4.02,4.46,-0.2732,0,0
